category,title,url,chars,lines,code_blocks,tables,has_code,has_tables,scraped_at,doc_id,content_preview
Инфраструктура,Развертывание сервера Minecraft на виртуальной машине,https://cloud.ru/docs/tutorials-evolution/list/topics/free-tier-vm__minecraft?source-platform=Evolution,4827,133,10,0,True,False,2025-12-16 21:42:16.731053,doc_0049,"Развертывание сервера Minecraft на виртуальной машине
С помощью этого руководства вы развернете сервер Minecraft (Java Edition) актуальной версии на виртуальной машине.
Вы будете использовать следующи..."
Инфраструктура,Развертывание сервиса видеоконференций Jitsi на виртуальной машине,https://cloud.ru/docs/tutorials-evolution/list/topics/free-tier-vm__jitsi-video-conferences?source-platform=Evolution,6631,188,24,1,True,True,2025-12-16 21:42:19.217230,doc_0050,"Развертывание сервиса видеоконференций Jitsi на виртуальной машине
С помощью этого руководства вы развернете сервис видеоконференций Jitsi на бесплатной виртуальной машине в облаке Cloud.ru Evolution...."
Инфраструктура,Развертывание сервиса статического мониторинга кода и безопасности SonarQube,https://cloud.ru/docs/tutorials-evolution/list/topics/vm__postgresql-sonarqube?source-platform=Evolution,12898,365,19,2,True,True,2025-12-16 21:42:21.893804,doc_0051,"Развертывание сервиса статического мониторинга кода и безопасности SonarQube
С помощью этого руководства вы развернете платформу статического анализа кода SonarQube в облаке Cloud.ru для автоматическо..."
Инфраструктура,Развертывание системы умного дома с использованием Node-RED и Mosquitto,https://cloud.ru/docs/tutorials-evolution/list/topics/vm__smarthome?source-platform=Evolution,7180,215,15,1,True,True,2025-12-16 21:42:24.279114,doc_0052,"Развертывание системы умного дома с использованием Node-RED и Mosquitto
С помощью этого руководства вы научитесь основам IoT-автоматизации и выполните проект по управлению температурой в умном доме.
В..."
Инфраструктура,Разработка высоконагруженного приложения на сервере Bare Metal,https://cloud.ru/docs/tutorials-evolution/list/topics/bare-metal__highload_app?source-platform=Evolution,4005,105,16,0,True,False,2025-12-16 21:42:26.580512,doc_0053,"Разработка высоконагруженного приложения на сервере Bare Metal
С помощью этого руководства вы развернете среду для разработки высоконагруженных приложений.
В отличие от виртуальных сред или локальных ..."
Инфраструктура,Решение задач с помощью квантового симулятора,https://cloud.ru/docs/tutorials-evolution/list/topics/vm__quantum-simulator?source-platform=Evolution,5444,163,11,1,True,True,2025-12-16 21:42:29.485512,doc_0054,"Решение задач с помощью квантового симулятора
С помощью этого руководства вы научитесь решать задачу с применением алгоритма имитации отжига, получите результаты решений и интерпретируете их.
Для реше..."
Инфраструктура,Создание AI-агента с MCP-сервером Managed RAG,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-rag__create-agent?source-platform=Evolution,3600,137,1,0,True,False,2025-12-16 21:42:31.783756,doc_0055,"Создание AI-агента с MCP-сервером Managed RAG
С помощью этого руководства вы сформируете базу знаний в Managed RAG, запустите MCP‑сервер и создадите AI‑агента, способного отвечать на запросы, использу..."
Инфраструктура,Установка Onlyoffice Community на выделенный сервер Bare Metal,https://cloud.ru/docs/tutorials-evolution/list/topics/bare-metal__onlyoffice?source-platform=Evolution,2099,67,7,0,True,False,2025-12-16 21:42:34.589344,doc_0056,"Установка Onlyoffice Community на выделенный сервер Bare Metal
С помощью этого руководства вы развернете экосистему приложений для совместной работы Onlyoffice.
Доступ к приложениям обеспечивается чер..."
Контейнеры,Event-driven масштабирование в Managed Kubernetes с помощью KEDA,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-kubernetes__keda-scaling?source-platform=Evolution,7410,166,16,0,True,False,2025-12-16 21:42:37.244693,doc_0057,"Event-driven масштабирование в Managed Kubernetes с помощью KEDA
С помощью этого руководства вы развернете инфраструктуру Managed Kubernetes и установите решение KEDA для event-driven автомасштабирова..."
Контейнеры,Автоматическое масштабирование nginx с FederatedHPA и нагрузочное тестирование с k6,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-kubernetes__karmada-fhpa?source-platform=Evolution,6165,119,16,0,True,False,2025-12-16 21:42:39.831487,doc_0058,"Автоматическое масштабирование nginx с FederatedHPA и нагрузочное тестирование с k6
С помощью этого руководства вы реализуете автоматическое горизонтальное масштабирование приложения nginx в мультикла..."
Контейнеры,Вайб-кодинг с помощью Foundation Models и подключение MCP-сервера для деплоя приложения в Container Apps,https://cloud.ru/docs/tutorials-evolution/list/topics/container-apps__vibecode-django-photo-app-mcp-server?source-platform=Evolution,15097,300,21,0,True,False,2025-12-16 21:42:42.721672,doc_0059,"Вайб-кодинг с помощью Foundation Models и подключение MCP-сервера для деплоя приложения в Container Apps
С помощью этого руководства вы научитесь:
вайб-кодить бэкенд-приложение на Python (фреймворк Dj..."
Контейнеры,Запуск Telegram-бота на Python в контейнере,https://cloud.ru/docs/tutorials-evolution/list/topics/container-apps__telegram-bot?source-platform=Evolution,4012,112,6,0,True,False,2025-12-16 21:42:44.934761,doc_0060,"Запуск Telegram-бота на Python в контейнере
С помощью этого руководства вы запустите Telegram-бота на Python в контейнере.
Вы будете использовать следующие сервисы:
Artifact Registry
для хранения, сов..."
Контейнеры,Запуск контейнерного приложения в кластере Managed Kubernetes,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-kubernetes__deployment-app?source-platform=Evolution,5748,158,9,0,True,False,2025-12-16 21:42:47.187093,doc_0061,"Запуск контейнерного приложения в кластере Managed Kubernetes
С помощью этого руководства вы соберете и загрузите демонстрационный образ контейнерного приложения в Artifact Registry, создадите кластер..."
Контейнеры,Настройка Time-Slicing GPU,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-kubernetes__time-slicing?source-platform=Evolution,2935,90,17,0,True,False,2025-12-16 21:42:49.598542,doc_0062,"Настройка Time-Slicing GPU
NVIDIA GPU Operator поддерживает возможность настройки Time-Slicing — механизма виртуального разделения одной физической GPU между несколькими подами на уровне рабочего узла..."
Контейнеры,Настройка автомасштабирования группы узлов,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-kubernetes__automatic-scaling?source-platform=Evolution,2001,56,8,0,True,False,2025-12-16 21:42:52.095712,doc_0063,"Настройка автомасштабирования группы узлов
В сценарии рассмотрим, как настраивать и управлять автомасштабированием через API:
Создадим группу узлов
с поддержкой автомасштабирования
Отредактируем миним..."
Контейнеры,"Настройка пайплайна CI/CD в GitHub, GitLab и GitVerse с использованием Artifact Registry",https://cloud.ru/docs/tutorials-evolution/list/topics/container-apps__ci-cd?source-platform=Evolution,4834,102,0,0,False,False,2025-12-16 21:42:54.596977,doc_0064,"Настройка пайплайна CI/CD в GitHub, GitLab и GitVerse с использованием Artifact Registry
С помощью этого руководства вы научитесь создавать процесс автоматической сборки и публикации Docker-образа из ..."
Контейнеры,Передача логов с кластера Managed Kubernetes,https://cloud.ru/docs/tutorials-evolution/list/topics/monitoring-and-logging__client-log__kubernetes?source-platform=Evolution,6612,160,12,1,True,True,2025-12-16 21:42:57.267973,doc_0065,"Передача логов с кластера Managed Kubernetes
С помощью инструкции подготовим и настроим передачу логов с кластера Managed Kubernetes в сервис «Клиентское логирование».
Перед началом работы
Создайте и ..."
Контейнеры,Подготовка среды для Artifact Registry и Container Apps,https://cloud.ru/docs/tutorials-evolution/list/topics/container-apps__before-work?source-platform=Evolution,1867,50,1,0,True,False,2025-12-16 21:42:59.410105,doc_0066,"Подготовка среды для Artifact Registry и Container Apps
Перед началом работы с практическими руководствами по Artifact Registry и Container Apps:
Зарегистрируйтесь в личном кабинете Cloud.ru
После рег..."
Контейнеры,Подключение Managed Redis® к сервисам в кластере Managed Kubernetes,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-kubernetes__redis-user-sessions?source-platform=Evolution,5752,158,11,0,True,False,2025-12-16 21:43:01.712671,doc_0067,"Подключение Managed Redis® к сервисам в кластере Managed Kubernetes
С помощью этого руководства вы сконфигурируете Managed Redis® для хранения пользовательских сессий в сервисе, работающем в кластере ..."
Контейнеры,Подключение ИИ из Foundation Models к nocode Telegram-боту на основе Container Apps или Notebooks,https://cloud.ru/docs/tutorials-evolution/list/topics/container-apps__telegram-bot-connection?source-platform=Evolution,5218,159,4,0,True,False,2025-12-16 21:43:03.905460,doc_0068,"Подключение ИИ из Foundation Models к nocode Telegram-боту на основе Container Apps или Notebooks
С помощью этого руководства вы запустите приложение n8n в Container Apps или в Notebooks.
На базе этог..."
Контейнеры,Пример развертывания сайта,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-kubernetes__website?source-platform=Evolution,3186,111,12,0,True,False,2025-12-16 21:43:06.279101,doc_0069,"Пример развертывания сайта
С помощью инструкции создадим образ с простым статическим сайтом.
Затем загрузим образ в Artifact Registry и развернем сайт в кластере Managed Kubernetes.
Перед началом рабо..."
Контейнеры,Продвинутые методики развертывания приложений Blue-Green и Canary в управляемом кластере Managed Kubernetes,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-kubernetes__blue-green-and-canary-deployment?source-platform=Evolution,9812,279,46,0,True,False,2025-12-16 21:43:09.586246,doc_0070,"Продвинутые методики развертывания приложений Blue-Green и Canary в управляемом кластере Managed Kubernetes
С помощью этого руководства вы научитесь работать с продвинутыми стратегиями развертывания к..."
Контейнеры,Работа с секретами при публикации приложений в Managed Kubernetes,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-kubernetes__secret?source-platform=Evolution,5774,131,14,0,True,False,2025-12-16 21:43:11.958915,doc_0071,"Работа с секретами при публикации приложений в Managed Kubernetes
Приложения, развернутые в кластерах Kubernetes, часто требуют подключения к базам данных или внешним сервисам.
Однако чувствительные д..."
Контейнеры,Развертывание Deployment с вертикальным масштабированием подов,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-kubernetes__vpa?source-platform=Evolution,2481,74,15,0,True,False,2025-12-16 21:43:14.277683,doc_0072,"Развертывание Deployment с вертикальным масштабированием подов
В сценарии развернем Deployment с тремя подами, каждый из которых запускает контейнер с nginx.
В Deployment укажем:
запросы на лимиты — 5..."
Контейнеры,Развертывание Deployment с горизонтальным масштабированием подов,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-kubernetes__hpa?source-platform=Evolution,3555,82,19,0,True,False,2025-12-16 21:43:16.660933,doc_0073,"Развертывание Deployment с горизонтальным масштабированием подов
В сценарии развернем Deployment с Apache и PHP, а затем зададим условия изменения количества подов в зависимости от нагрузки на виртуал..."
Контейнеры,Развертывание Jupyter Server в контейнере,https://cloud.ru/docs/tutorials-evolution/list/topics/container-apps__jupyter-server?source-platform=Evolution,3243,89,5,0,True,False,2025-12-16 21:43:18.845088,doc_0074,"Развертывание Jupyter Server в контейнере
С помощью этого руководства вы научитесь разворачивать Jupyter Server в контейнере.
На примере развертывания Jupyter Server вы познакомитесь с созданием конте..."
Контейнеры,Развертывание backend-приложения в контейнере,https://cloud.ru/docs/tutorials-evolution/list/topics/container-apps__deploy-backend-app?source-platform=Evolution,4079,84,4,0,True,False,2025-12-16 21:43:21.140914,doc_0075,"Развертывание backend-приложения в контейнере
С помощью этого руководства вы научитесь разворачивать backend-приложение в контейнере.
Вы будете использовать репозиторий GitVerse с исходным кодом готов..."
Контейнеры,Развертывание frontend-приложения в контейнере,https://cloud.ru/docs/tutorials-evolution/list/topics/container-apps__deploy-frontend-app?source-platform=Evolution,4036,89,4,0,True,False,2025-12-16 21:43:23.312016,doc_0076,"Развертывание frontend-приложения в контейнере
С помощью этого руководства вы получите практический опыт использования облачных сервисов для запуска контейнерных приложений —
Container Apps
Artifact R..."
Контейнеры,Развертывание nginx в кластерах-участниках Karmada,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-kubernetes__app-in-karmada?source-platform=Evolution,5256,92,14,0,True,False,2025-12-16 21:43:25.725897,doc_0077,"Развертывание nginx в кластерах-участниках Karmada
С помощью этого руководства вы развернете приложение nginx в кластерах-участниках платформы Karmada с помощью политики распространения ресурсов.
В ре..."
Контейнеры,Развертывание кластера Managed Kubernetes с помощью Terraform,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-kubernetes__deploying-cluster-using-terraform?source-platform=Evolution,3291,90,10,0,True,False,2025-12-16 21:43:27.986050,doc_0078,"Развертывание кластера Managed Kubernetes с помощью Terraform
С помощью этого руководства вы научитесь автоматически развертывать инфраструктуру в облаке
Cloud.ru
Evolution при помощи инструмента Terr..."
Контейнеры,Развертывание мультикластера Managed Kubernetes с помощью Karmada,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-kubernetes__karmada-deployment?source-platform=Evolution,8976,201,22,0,True,False,2025-12-16 21:43:30.404853,doc_0079,"Развертывание мультикластера Managed Kubernetes с помощью Karmada
С помощью этого руководства вы развернете мультикластерное окружение на базе Managed Kubernetes при помощи платформы Karmada.
Вы научи..."
Контейнеры,Создание Telegram-бота без написания кода с помощью n8n на основе Container Apps или Notebooks,https://cloud.ru/docs/tutorials-evolution/list/topics/container-apps__nocode-telegram-bot?source-platform=Evolution,8338,276,0,0,False,False,2025-12-16 21:43:32.809114,doc_0080,"Создание Telegram-бота без написания кода с помощью n8n на основе Container Apps или Notebooks
С помощью этого руководства вы развернете платформу для создания рабочих процессов без написания кода и с..."
Контейнеры,Создание django-приложения для раздачи фотографий,https://cloud.ru/docs/tutorials-evolution/list/topics/container-apps__deploy-django-photo-app?source-platform=Evolution,10020,249,7,0,True,False,2025-12-16 21:43:35.231159,doc_0081,"Создание django-приложения для раздачи фотографий
С помощью этого руководства вы научитесь сохранять данные проекта, размещенного в Container Apps, с помощью Object Storage.
Вы будете использовать реп..."
Общее,Интеграция веб-интерфейса Open WebUI с Foundation Models,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__open-webui?source-platform=Evolution,7832,225,20,0,True,False,2025-12-16 21:43:37.538301,doc_0082,"Интеграция веб-интерфейса Open WebUI с Foundation Models
С помощью этого руководства вы разверните веб-интерфейс Open WebUI на бесплатной виртуальной машине в облаке Cloud.ru Evolution.
Создадите вирт..."
Общее,Обработка данных из Object Storage,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-spark__spark-s3?source-platform=Evolution,4305,143,1,0,True,False,2025-12-16 21:43:39.993416,doc_0083,"Обработка данных из Object Storage
С помощью этого руководства вы научитесь использовать сервис Managed Spark для обработки данных, хранящихся в
Evolution Object Storage
В качестве примера вы построит..."
Общее,Подключение Foundation Models в VS Code,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__connect-vscode?source-platform=Evolution,3969,113,1,0,True,False,2025-12-16 21:43:42.151839,doc_0084,"Подключение Foundation Models в VS Code
С помощью этого руководства вы подключите Foundation Models в VS Code через плагин Roo Code.
Вы будете использовать следующие сервисы:
Foundation Models
— серви..."
Общее,Подключение LLM-шлюза Litellm к Foundation Models,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__connect-litellm?source-platform=Evolution,9712,296,22,0,True,False,2025-12-16 21:43:44.772046,doc_0085,"Подключение LLM-шлюза Litellm к Foundation Models
С помощью этого руководства вы развернете LLM-шлюз Litellm на бесплатной виртуальной машине в облаке Cloud.ru Evolution.
Вы создадите виртуальную маши..."
Общее,Подключение Managed ArenadataDB к Managed BI,https://cloud.ru/docs/tutorials-evolution/list/topics/arenadata-db__managed-bi?source-platform=Evolution,6106,260,0,0,False,False,2025-12-16 21:43:47.116074,doc_0086,"Подключение Managed ArenadataDB к Managed BI
С помощью этого руководства вы научитесь загружать данные в Managed ArenadataDB через JDBC-клиент DBeaver и визуализировать их в Managed BI.
Вы будете испо..."
Общее,Подключение Trino к Iceberg,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-trino__trino-iceberg?source-platform=Evolution,5277,211,12,0,True,False,2025-12-16 21:43:49.711230,doc_0087,"Подключение Trino к Iceberg
С помощью этого руководства вы подготовите инстанс Trino для работы с форматом данных Iceberg.
Постановка задачи
Создать и заполнить таблицу с данными сотрудников.
Прочитат..."
Общее,Подключение Trino к S3,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-trino__trino-s3?source-platform=Evolution,6426,266,16,0,True,False,2025-12-16 21:43:52.330516,doc_0088,"Подключение Trino к S3
В этом руководстве мы рассмотрим:
сценарий взаимодействия между Managed Trino,
Managed Metastore
Object Storage
отправку запросов через DBeaver;
работу с управляемыми таблицами;..."
Общее,Работа с данными в Managed ArenadataDB,https://cloud.ru/docs/tutorials-evolution/list/topics/arenadata-db__dbeaver?source-platform=Evolution,3022,119,3,0,True,False,2025-12-16 21:43:54.533252,doc_0089,"Работа с данными в Managed ArenadataDB
С помощью этого руководства вы подключите инстанс Managed ArenadataDB по внешнему IP к JDBC-клиенту DBeaver.
Постановка задачи
Развернуть инстанс с публичным IP...."
Общее,Работа с пользовательским образом,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-spark__spark-image-artifact-registry?source-platform=Evolution,4933,156,3,0,True,False,2025-12-16 21:43:56.874135,doc_0090,"Работа с пользовательским образом
С помощью этого руководства вы научитесь обрабатывать данные, применяя
пользовательский образ
Spark.
Вы примените пользовательский образ, включающий библиотеки для ра..."
Общее,Работа с таблицами Delta Lake,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-spark__spark-delta-lake?source-platform=Evolution,5340,169,1,1,True,True,2025-12-16 21:43:59.380755,doc_0091,"Работа с таблицами Delta Lake
С помощью этого руководства вы научитесь использовать сервис Managed Spark для обработки таблиц формата
Delta Lake
Вы построите витрину данных, отражающую полную информац..."
Общее,Работа с таблицами Iceberg,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-spark__spark-iceberg?source-platform=Evolution,5673,172,1,1,True,True,2025-12-16 21:44:01.693460,doc_0092,"Работа с таблицами Iceberg
С помощью этого руководства вы научитесь использовать сервис Managed Spark для обработки таблиц формата Iceberg и преобразования их в таблицы Parquet.
В качестве примера вы ..."
Общее,Создание ассистентов и работа с документами в Chatbox на основе Foundation Models,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__connect-chatbox?source-platform=Evolution,4773,143,2,0,True,False,2025-12-16 21:44:03.890894,doc_0093,"Создание ассистентов и работа с документами в Chatbox на основе Foundation Models
С помощью этого руководства вы получите практический опыт по созданию ассистента и работе с документами в приложении C..."
Общее,Создание инференса для использования в Managed RAG,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-rag__create-inference?source-platform=Evolution,8587,344,0,0,False,False,2025-12-16 21:44:06.150384,doc_0094,"Создание инференса для использования в Managed RAG
С помощью этого руководства вы последовательно создадите три типа инференса в ML Inference для использования их в базе знаний Managed RAG, затем пров..."
Общее,Создать бэкап в Object Storage по расписанию в ADBC,https://cloud.ru/docs/tutorials-evolution/list/topics/arenadata-db__adbc-backup?source-platform=Evolution,3796,135,1,0,True,False,2025-12-16 21:44:08.337462,doc_0095,"Создать бэкап в Object Storage по расписанию в ADBC
С помощью этого руководства вы настроите бэкапы по расписанию и восстановите исходные данные.
Вы будете использовать следующие сервисы:
Виртуальные ..."
Общее,Чтение сообщений из топиков Managed Kafka®,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-spark__spark-streaming?source-platform=Evolution,6072,158,2,1,True,True,2025-12-16 21:44:10.788464,doc_0096,"Чтение сообщений из топиков Managed Kafka®
С помощью этого руководства вы настроите чтение сообщений из топика Managed Kafka® и отображение полученных данных в логах задачи Managed Spark.
Вы создадите..."
Сеть,Связывание ресурсов в разных VPC внутри проекта,https://cloud.ru/docs/tutorials-evolution/list/topics/magic-router__link-vpcs-in-project?source-platform=Evolution,5733,245,0,0,False,False,2025-12-16 21:44:13.226254,doc_0097,"Связывание ресурсов в разных VPC внутри проекта
С помощью этого руководства вы настроите сетевую связность между виртуальными машинами из разных VPC, принадлежащих одному проекту.
Вы будете использова..."
Сеть,Связывание ресурсов разных VPC из разных проектов,https://cloud.ru/docs/tutorials-evolution/list/topics/magic-router__link-vpcs-in-two-projects?source-platform=Evolution,9349,376,0,0,False,False,2025-12-16 21:44:15.554999,doc_0098,"Связывание ресурсов разных VPC из разных проектов
С помощью этого руководства вы создадите связность между виртуальными машинами из разных
, принадлежащих разным
проектам
Вы будете использовать соедин..."
